Pheno,UKB ID,IDP short name,,Units,Type,Cat.,Category name,IDP description,N(disc),Npar(disc),Nnonpar(disc),N(rep),Npar(rep),Nnonpar(rep),N(all),Npar(all),Nnonpar(all),Heritability,Heritability(SE)
17,25017,IDP_T1_FIRST_left_pallidum_volume,,mm3,float,1,regional and tissue volume,Volume of left pallidum (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.14E-01,2.18E-02
18,25018,IDP_T1_FIRST_right_pallidum_volume,,mm3,float,1,regional and tissue volume,Volume of right pallidum (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.31E-01,2.30E-02
19,25019,IDP_T1_FIRST_left_hippocampus_volume,,mm3,float,1,regional and tissue volume,Volume of left hippocampus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.71E-01,1.89E-02
20,25020,IDP_T1_FIRST_right_hippocampus_volume,,mm3,float,1,regional and tissue volume,Volume of right hippocampus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.67E-01,1.96E-02
21,25021,IDP_T1_FIRST_left_amygdala_volume,,mm3,float,1,regional and tissue volume,Volume of left amygdala (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.09E-01,1.58E-02
22,25022,IDP_T1_FIRST_right_amygdala_volume,,mm3,float,1,regional and tissue volume,Volume of right amygdala (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,9.61E-02,1.70E-02
23,25023,IDP_T1_FIRST_left_accumbens_volume,,mm3,float,1,regional and tissue volume,Volume of left accumbens (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.51E-01,1.63E-02
24,25024,IDP_T1_FIRST_right_accumbens_volume,,mm3,float,1,regional and tissue volume,Volume of right accumbens (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.78E-01,1.85E-02
25,25025,IDP_T1_FIRST_brain_stem+4th_ventricle_volume,,mm3,float,1,regional and tissue volume,Volume of brain stem + 4th ventricle (from T1 brain image),22128,22107,22116,11083,11077,11080,33211,33184,33196,2.77E-01,2.50E-02
26,25782,IDP_T1_FAST_ROIs_L_frontal_pole,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Frontal Pole,22133,22112,22121,11086,-,-,33219,33192,33204,1.53E-01,1.67E-02
27,25783,IDP_T1_FAST_ROIs_R_frontal_pole,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Frontal Pole,22133,22112,22121,11086,-,-,33219,33192,33204,2.08E-01,1.84E-02
28,25784,IDP_T1_FAST_ROIs_L_insular_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Insular Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.84E-01,2.20E-02
29,25785,IDP_T1_FAST_ROIs_R_insular_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Insular Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.70E-01,2.18E-02
30,25786,IDP_T1_FAST_ROIs_L_sup_front_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Superior Frontal Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.37E-01,1.75E-02
31,25787,IDP_T1_FAST_ROIs_R_sup_front_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Superior Frontal Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.26E-01,1.66E-02
32,25788,IDP_T1_FAST_ROIs_L_mid_front_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Middle Frontal Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.57E-01,1.77E-02
33,25789,IDP_T1_FAST_ROIs_R_mid_front_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Middle Frontal Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.65E-01,1.66E-02
34,25790,IDP_T1_FAST_ROIs_L_inf_front_gyrus_parstri,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis",22133,22112,22121,11086,-,-,33219,33192,33204,1.02E-01,1.61E-02
35,25791,IDP_T1_FAST_ROIs_R_inf_front_gyrus_parstri,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis",22133,22112,22121,11086,-,-,33219,33192,33204,4.77E-02,1.47E-02
36,25792,IDP_T1_FAST_ROIs_L_inf_front_gyrus_parsop,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis",22133,22112,22121,11086,-,-,33219,33192,33204,8.45E-02,2.12E-02
37,25793,IDP_T1_FAST_ROIs_R_inf_front_gyrus_parsop,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis",22133,22112,22121,11086,-,-,33219,33192,33204,7.28E-02,1.45E-02
38,25794,IDP_T1_FAST_ROIs_L_precentral_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Precentral Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.47E-01,1.77E-02
39,25795,IDP_T1_FAST_ROIs_R_precentral_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Precentral Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.61E-01,1.82E-02
40,25796,IDP_T1_FAST_ROIs_L_temporal_pole,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Temporal Pole,22133,22112,22121,11086,-,-,33219,33192,33204,1.98E-01,1.97E-02
41,25797,IDP_T1_FAST_ROIs_R_temporal_pole,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Temporal Pole,22133,22112,22121,11086,-,-,33219,33192,33204,1.96E-01,1.87E-02
42,25798,IDP_T1_FAST_ROIs_L_sup_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Superior Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.36E-01,2.35E-02
43,25799,IDP_T1_FAST_ROIs_R_sup_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Superior Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.21E-01,1.65E-02
44,25800,IDP_T1_FAST_ROIs_L_sup_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Superior Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.17E-01,1.52E-02
45,25801,IDP_T1_FAST_ROIs_R_sup_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Superior Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.67E-01,1.74E-02
46,25802,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.20E-01,1.66E-02
47,25803,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.48E-01,2.28E-02
48,25804,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.61E-01,1.88E-02
49,25805,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.56E-01,1.99E-02
50,25806,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_tempocc,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part",22133,22112,22121,11086,-,-,33219,33192,33204,8.30E-02,1.66E-02
51,25807,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_tempocc,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part",22133,22112,22121,11086,-,-,33219,33192,33204,1.09E-01,1.61E-02
52,25808,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.49E-01,1.72E-02
53,25809,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.50E-01,1.72E-02
54,25810,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.38E-01,2.01E-02
55,25811,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.62E-01,1.67E-02
56,25812,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_tempocc,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part",22133,22112,22121,11086,-,-,33219,33192,33204,1.60E-01,1.82E-02
57,25813,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_tempocc,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part",22133,22112,22121,11086,-,-,33219,33192,33204,1.58E-01,1.78E-02
58,25814,IDP_T1_FAST_ROIs_L_postcent_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Postcentral Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.31E-01,1.62E-02
59,25815,IDP_T1_FAST_ROIs_R_postcent_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Postcentral Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.33E-01,1.77E-02
60,25816,IDP_T1_FAST_ROIs_L_sup_parietal_lobule,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Superior Parietal Lobule,22133,22112,22121,11086,-,-,33219,33192,33204,7.85E-02,1.42E-02
61,25817,IDP_T1_FAST_ROIs_R_sup_parietal_lobule,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Superior Parietal Lobule,22133,22112,22121,11086,-,-,33219,33192,33204,5.74E-02,1.43E-02
62,25818,IDP_T1_FAST_ROIs_L_supramarg_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Supramarginal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,8.82E-02,1.70E-02
63,25819,IDP_T1_FAST_ROIs_R_supramarg_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Supramarginal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,9.48E-02,1.66E-02
64,25820,IDP_T1_FAST_ROIs_L_supramarg_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Supramarginal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,9.43E-02,1.50E-02
65,25821,IDP_T1_FAST_ROIs_R_supramarg_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Supramarginal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,6.20E-02,1.50E-02
66,25822,IDP_T1_FAST_ROIs_L_angular_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Angular Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.30E-01,1.75E-02
67,25823,IDP_T1_FAST_ROIs_R_angular_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Angular Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.07E-01,1.59E-02
68,25824,IDP_T1_FAST_ROIs_L_latocc_cortex_sup,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Lateral Occipital Cortex, superior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.26E-01,1.70E-02
69,25825,IDP_T1_FAST_ROIs_R_latocc_cortex_sup,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Lateral Occipital Cortex, superior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.07E-01,1.61E-02
70,25826,IDP_T1_FAST_ROIs_L_latocc_cortex_inf,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Lateral Occipital Cortex, inferior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.38E-01,1.83E-02
71,25827,IDP_T1_FAST_ROIs_R_latocc_cortex_inf,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Lateral Occipital Cortex, inferior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.05E-01,1.85E-02
72,25828,IDP_T1_FAST_ROIs_L_intracalc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Intracalcarine Cortex,22133,22112,22121,11086,11080,11083,33219,33192,33204,3.06E-01,2.61E-02
73,25829,IDP_T1_FAST_ROIs_R_intracalc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Intracalcarine Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,3.17E-01,2.77E-02
74,25830,IDP_T1_FAST_ROIs_L_front_med_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Frontal Medial Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.00E-01,1.45E-02
75,25831,IDP_T1_FAST_ROIs_R_front_med_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Frontal Medial Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,8.23E-02,1.42E-02
76,25832,IDP_T1_FAST_ROIs_L_juxtapos_lobule_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),22133,22112,22121,11086,11080,11083,33219,33192,33204,7.60E-02,1.55E-02
77,25833,IDP_T1_FAST_ROIs_R_juxtapos_lobule_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),22133,22112,22121,11086,-,-,33219,33192,33204,6.96E-02,1.52E-02
78,25834,IDP_T1_FAST_ROIs_L_subcallosal_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Subcallosal Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.85E-01,2.40E-02
79,25835,IDP_T1_FAST_ROIs_R_subcallosal_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Subcallosal Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.76E-01,2.34E-02
80,25836,IDP_T1_FAST_ROIs_L_paracing_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Paracingulate Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.67E-01,1.75E-02
81,25837,IDP_T1_FAST_ROIs_R_paracing_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Paracingulate Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.48E-01,1.63E-02
82,25838,IDP_T1_FAST_ROIs_L_cing_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Cingulate Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.51E-01,1.75E-02
83,25839,IDP_T1_FAST_ROIs_R_cing_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Cingulate Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.42E-01,2.05E-02
84,25840,IDP_T1_FAST_ROIs_L_cing_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Cingulate Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.67E-01,1.73E-02
85,25841,IDP_T1_FAST_ROIs_R_cing_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Cingulate Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.44E-01,1.83E-02
86,25842,IDP_T1_FAST_ROIs_L_precun_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Precuneous Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.02E-01,2.15E-02
87,25843,IDP_T1_FAST_ROIs_R_precun_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Precuneous Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.05E-01,2.28E-02
88,25844,IDP_T1_FAST_ROIs_L_cuneal_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Cuneal Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.58E-01,1.57E-02
89,25845,IDP_T1_FAST_ROIs_R_cuneal_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Cuneal Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.51E-01,1.75E-02
90,25846,IDP_T1_FAST_ROIs_L_front_orb_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Frontal Orbital Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,2.01E-01,2.02E-02
91,25847,IDP_T1_FAST_ROIs_R_front_orb_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Frontal Orbital Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.94E-01,2.40E-02
92,25848,IDP_T1_FAST_ROIs_L_parahipp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Parahippocampal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.87E-01,1.84E-02
93,25849,IDP_T1_FAST_ROIs_R_parahipp_gyrus_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Parahippocampal Gyrus, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.98E-01,1.75E-02
94,25850,IDP_T1_FAST_ROIs_L_parahipp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Parahippocampal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,2.06E-01,2.06E-02
95,25851,IDP_T1_FAST_ROIs_R_parahipp_gyrus_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Parahippocampal Gyrus, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,2.21E-01,1.95E-02
96,25852,IDP_T1_FAST_ROIs_L_lingual_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Lingual Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.61E-01,1.85E-02
97,25853,IDP_T1_FAST_ROIs_R_lingual_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Lingual Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,2.06E-01,2.14E-02
98,25854,IDP_T1_FAST_ROIs_L_temp_fusif_cortex_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Temporal Fusiform Cortex, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.37E-01,1.65E-02
99,25855,IDP_T1_FAST_ROIs_R_temp_fusif_cortex_ant,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Temporal Fusiform Cortex, anterior division",22133,22112,22121,11086,-,-,33219,33192,33204,1.68E-01,1.69E-02
100,25856,IDP_T1_FAST_ROIs_L_temp_fusif_cortex_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Left Temporal Fusiform Cortex, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,2.14E-01,2.08E-02
101,25857,IDP_T1_FAST_ROIs_R_temp_fusif_cortex_post,,mm3,float,1,regional and tissue volume,"Volume of grey matter in Right Temporal Fusiform Cortex, posterior division",22133,22112,22121,11086,-,-,33219,33192,33204,2.14E-01,1.94E-02
102,25858,IDP_T1_FAST_ROIs_L_temp_occ_fusif_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Temporal Occipital Fusiform Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.54E-01,1.82E-02
103,25859,IDP_T1_FAST_ROIs_R_temp_occ_fusif_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Temporal Occipital Fusiform Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.84E-01,1.83E-02
104,25860,IDP_T1_FAST_ROIs_L_occ_fusif_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Occipital Fusiform Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.35E-01,1.78E-02
105,25861,IDP_T1_FAST_ROIs_R_occ_fusif_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Occipital Fusiform Gyrus,22133,22112,22121,11086,-,-,33219,33192,33204,1.17E-01,1.69E-02
106,25862,IDP_T1_FAST_ROIs_L_front_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Frontal Operculum Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.39E-01,1.67E-02
107,25863,IDP_T1_FAST_ROIs_R_front_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Frontal Operculum Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.09E-01,1.57E-02
108,25864,IDP_T1_FAST_ROIs_L_cent_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Central Opercular Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.48E-01,1.60E-02
109,25865,IDP_T1_FAST_ROIs_R_cent_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Central Opercular Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.80E-01,1.92E-02
110,25866,IDP_T1_FAST_ROIs_L_parietal_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Parietal Operculum Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.36E-01,1.56E-02
111,25867,IDP_T1_FAST_ROIs_R_parietal_operc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Parietal Operculum Cortex,22133,22112,22121,11086,11080,11083,33219,33192,33204,1.72E-01,1.84E-02
112,25868,IDP_T1_FAST_ROIs_L_planum_polare,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Planum Polare,22133,22112,22121,11086,-,-,33219,33192,33204,1.76E-01,1.78E-02
113,25869,IDP_T1_FAST_ROIs_R_planum_polare,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Planum Polare,22133,22112,22121,11086,-,-,33219,33192,33204,1.83E-01,1.96E-02
114,25870,IDP_T1_FAST_ROIs_L_heschl_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Heschl's Gyrus (includes H1 and H2),22133,22112,22121,11086,-,-,33219,33192,33204,1.99E-01,1.83E-02
115,25871,IDP_T1_FAST_ROIs_R_heschl_gyrus,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Heschl's Gyrus (includes H1 and H2),22133,22112,22121,11086,-,-,33219,33192,33204,2.12E-01,1.83E-02
116,25872,IDP_T1_FAST_ROIs_L_planum_temporale,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Planum Temporale,22133,22112,22121,11086,-,-,33219,33192,33204,1.76E-01,1.79E-02
117,25873,IDP_T1_FAST_ROIs_R_planum_temporale,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Planum Temporale,22133,22112,22121,11086,-,-,33219,33192,33204,1.92E-01,1.80E-02
118,25874,IDP_T1_FAST_ROIs_L_supracalc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Left Supracalcarine Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.83E-01,1.93E-02
119,25875,IDP_T1_FAST_ROIs_R_supracalc_cortex,,mm3,float,1,regional and tissue volume,Volume of grey matter in Right Supracalcarine Cortex,22133,22112,22121,11086,-,-,33219,33192,33204,1.86E-01,1.89E-02
